| user_id | action_date | action |
| ------- | ----------- | ------ |
| 1       | 2024-01-01  | login  |
| 1       | 2024-01-02  | login  |
| 1       | 2024-01-03  | login  |
| 1       | 2024-01-04  | login  |
| 1       | 2024-01-05  | login  |
| 2       | 2024-01-01  | login  |
| 2       | 2024-01-02  | login  |
| 2       | 2024-01-03  | login  |
| 2       | 2024-01-04  | login  |
| 2       | 2024-01-05  | login  |
| 2       | 2024-01-06  | login  |
| 2       | 2024-01-07  | login  |
| 2       | 2024-01-08  | login  |
| 3       | 2024-01-01  | click  |
| 3       | 2024-01-02  | click  |
| 3       | 2024-01-03  | click  |
| 3       | 2024-01-04  | click  |
| 3       | 2024-01-06  | login  |
| 3       | 2024-01-07  | login  |
| 3       | 2024-01-08  | login  |
| 3       | 2024-01-09  | login  |
| 3       | 2024-01-10  | login  |
| 3       | 2024-01-11  | login  |
| 4       | 2024-01-01  | view   |
| 4       | 2024-01-02  | login  |
| 4       | 2024-01-04  | login  |
| 4       | 2024-01-05  | login  |
| 5       | 2024-01-01  | view   |
| 5       | 2024-01-02  | view   |
| 5       | 2024-01-03  | view   |
| 5       | 2024-01-04  | view   |
| 5       | 2024-01-05  | view   |
| 6       | 2024-01-01  | login  |
| 6       | 2024-01-02  | login  |
| 6       | 2024-01-03  | login  |
| 6       | 2024-01-04  | login  |
| 6       | 2024-01-05  | login  |
| 6       | 2024-01-06  | login  |
| 6       | 2024-01-07  | login  |
| 6       | 2024-01-08  | login  |
| 7       | 2024-01-01  | view   |
| 7       | 2024-01-02  | view   |
| 7       | 2024-01-03  | view   |
| 7       | 2024-01-04  | view   |
| 7       | 2024-01-06  | logout |
| 7       | 2024-01-07  | logout |
| 7       | 2024-01-08  | logout |
| 7       | 2024-01-09  | logout |
| 7       | 2024-01-10  | logout |
| 7       | 2024-01-11  | logout |
| 8       | 2024-01-01  | view   |
| 8       | 2024-01-03  | click  |
| 8       | 2024-01-04  | view   |
| 8       | 2024-01-06  | click  |
| 8       | 2024-01-08  | view   |
| 8       | 2024-01-09  | click  |
| 9       | 2024-01-01  | login  |
| 9       | 2024-01-02  | login  |
| 9       | 2024-01-03  | login  |
| 9       | 2024-01-04  | login  |
| 9       | 2024-01-05  | login  |
| 10      | 2024-01-01  | logout |
| 10      | 2024-01-02  | logout |
| 10      | 2024-01-03  | logout |
| 10      | 2024-01-04  | logout |
| 10      | 2024-01-05  | logout |
| 10      | 2024-01-06  | logout |
| 11      | 2024-01-01  | click  |
| 11      | 2024-01-02  | click  |
| 11      | 2024-01-03  | click  |
| 11      | 2024-01-04  | click  |
| 11      | 2024-01-06  | view   |
| 11      | 2024-01-07  | view   |
| 11      | 2024-01-08  | view   |
| 11      | 2024-01-09  | view   |
| 11      | 2024-01-10  | view   |
| 11      | 2024-01-11  | view   |
